Name,Tm,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,FIP,WHIP,H9,BB,SO9,DateTime
Matt Albers,MIL,2,1,4.76,10,0,0,11.1,11,6,6,3,2,12,4.99,1.147,8.7,2,9.5,2019-05-04 10:49:57
Sandy Alcantara,MIA,1,2,4.5,5,5,0,28.0,30,15,14,1,12,21,3.38,1.5,9.6,12,6.8,2019-05-04 10:49:57
Victor Alcantara,DET,2,0,3.27,13,0,0,11.0,10,4,4,3,3,5,6.86,1.182,8.2,3,4.1,2019-05-04 10:49:57
Scott Alexander,LAD,1,1,3.48,15,0,0,10.1,10,4,4,1,3,8,4.0,1.258,8.7,3,7.0,2019-05-04 10:49:57
Cody Allen,LAA,0,2,6.0,11,0,4,9.0,7,6,6,3,10,11,8.36,1.889,7.0,10,11.0,2019-05-04 10:49:57
Jose Alvarado,TBR,0,2,1.5,13,0,4,12.0,8,2,2,0,7,19,1.72,1.25,6.0,7,14.3,2019-05-04 10:49:57
Jose Alvarez,PHI,0,1,7.2,11,0,1,10.0,17,10,8,3,1,6,6.43,1.8,15.3,1,5.4,2019-05-04 10:49:57
Brett Anderson,OAK,3,2,4.35,6,6,0,31.0,34,16,15,1,12,18,3.75,1.484,9.9,12,5.2,2019-05-04 10:49:57
Chase Anderson,MIL,2,0,3.2,7,2,0,19.2,16,7,7,3,9,22,4.25,1.271,7.3,9,10.1,2019-05-04 10:49:57
Justin Anderson,LAA,2,0,3.12,8,0,0,8.2,6,3,3,0,4,9,2.44,1.1540000000000001,6.2,4,9.3,2019-05-04 10:49:57
Tyler Anderson,COL,0,2,12.0,3,3,0,12.0,22,16,16,3,6,9,6.38,2.333,16.5,6,6.8,2019-05-04 10:49:57
Matt Andriese,ARI,3,1,3.24,9,0,1,16.2,12,6,6,3,8,18,5.11,1.2,6.5,8,9.7,2019-05-04 10:49:57
Victor Arano,PHI,1,0,3.86,3,0,0,4.2,2,2,2,1,2,7,4.2,0.857,3.9,2,13.5,2019-05-04 10:49:57
Chris Archer,PIT,1,2,4.33,5,5,0,27.0,23,13,13,5,12,29,4.84,1.296,7.7,12,9.7,2019-05-04 10:49:57
Shawn Armstrong,SEA,0,1,14.73,4,0,0,3.2,8,6,6,1,3,3,8.31,3.0,19.6,3,7.4,2019-05-04 10:49:57
